COVID-19 Vaccinations in the United States
Date generated: Tue Apr 18 2023 10:45:52 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Percent of 12+ pop with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with an updated (bivalent) booster dose,Percent of pop with an updated (bivalent) booster dose,Residents 5+ with an updated (bivalent) booster dose,Percent of 5+ pop with an updated (bivalent) booster dose,Residents 12+ with an updated (bivalent) booster dose,Percent of 12+ pop with an updated (bivalent) booster dose,Residents 18+ with an updated (bivalent) booster dose,Percent of 18+ pop with an updated (bivalent) booster dose,Residents 65+ with an updated (bivalent) booster dose,Percent of 65+ pop with an updated (bivalent) booster dose,Children <5 with at least one dose,Total number of updated (bivalent) booster doses administered
District of Columbia,2734025,387393,473358,2123480,300883,1916532,331820,834705,95,733639,95,642335,91,568548,95,1423045,N/A,796180,N/A,73200,3200,N/A,44239,683605,N/A,1156784,N/A,240,5703,115368,95,95624,95,396458,453909,3130220,776205,95,601064,95,2010336,329696,448382,818432,95,633054,95,2093366,316994,414007,224338,31.8,224030,33.9,216219,35.5,208543,36.1,49522,56.7,N/A,N/A
Dept of Defense,7760330,N/A,N/A,9408465,N/A,8669265,N/A,4676239,N/A,4289038,N/A,3732145,N/A,3445716,N/A,4628270,N/A,2346340,N/A,210800,38000,N/A,331804,2990539,N/A,5836753,N/A,3941,53286,483063,N/A,256532,N/A,893455,N/A,N/A,4553709,N/A,3653881,N/A,9189471,N/A,N/A,4661493,N/A,3726740,N/A,9381706,N/A,N/A,190487,N/A,190379,N/A,185649,N/A,177831,N/A,35239,N/A,N/A,N/A
Delaware,3318735,340815,430897,2165390,222373,1961730,254707,861065,88.4,769625,95,715327,73.5,640769,83.2,1649955,N/A,1071000,N/A,102600,5000,N/A,63627,747499,N/A,1140294,N/A,191,2619,225033,95,193497,95,707081,374303,1756820,822444,95,685892,81.7,2085188,248294,395178,855418,93.1,712719,77.5,2153416,234310,361107,204109,21,204016,22.2,200501,23.9,194289,25.2,100782,53.4,N/A,N/A
Florida,61071625,284349,354083,42150270,196251,39075786,226555,17783149,82.8,16251977,94.2,14954918,69.6,13719121,79.5,31967685,N/A,20028020,N/A,2478100,61700,N/A,1510083,14688488,N/A,23394041,N/A,4177,188439,4941200,95,4241575,94.3,14505256,322530,1357950,17260788,92.3,14556457,77.9,41140170,220048,326656,17731480,87.2,14930369,73.4,42056026,206786,300283,2458018,11.4,2456866,12.1,2431686,13,2386166,13.8,1368170,30.4,N/A,N/A
Federated States of Micronesia,291840,285223,437384,208710,203978,142995,214308,86073,84.1,56109,84.1,73564,71.9,50568,75.8,115460,N/A,127940,N/A,12800,N/A,N/A,13880,106414,N/A,71812,N/A,N/A,171,4250,88.3,3946,82,11718,243516,6064840,67374,85.1,60109,76,169245,213850,368755,81566,87.9,72087,77.7,201339,216911,314412,16340,16,16334,17.6,14308,18.1,11835,17.7,1128,23.4,N/A,N/A
Georgia,28537115,268776,351722,17080681,160874,15504264,191091,7280410,68.6,6502189,80.1,6097769,57.4,5490526,67.7,14756995,N/A,9773940,N/A,869100,39900,N/A,349096,6167803,N/A,9406032,N/A,2375,56839,1493150,95,1315143,86.7,4390936,289457,1881210,6992895,77.8,5890001,65.5,16505989,183643,317499,7241971,72.7,6080232,61,17003167,170700,286493,1105117,10.4,1103844,11.1,1081566,12,1045881,12.9,465410,30.7,N/A,N/A
Guam,386180,229202,337146,399187,236922,341733,298342,159664,94.8,132462,95,144845,86,121933,95,232940,N/A,99980,N/A,25100,900,N/A,13922,119862,N/A,246559,N/A,25,891,18315,95,17114,95,59063,367742,2404460,148940,95,136637,95,378549,288273,294084,159107,95,144639,94.7,398190,260662,252800,17779,10.6,17773,11.6,17270,13.2,16302,14.2,4414,27.5,N/A,N/A
Hawaii,4617770,326143,413777,3511914,248039,3136324,281032,1296682,91.6,1129257,95,1155949,81.6,1009831,90.5,2368440,N/A,1504020,N/A,124900,4500,N/A,71625,1170463,N/A,1952958,N/A,363,1281,281088,95,257815,95,988922,368385,1720170,1220227,95,1092223,90.2,3349439,276560,381284,1284645,95,1149443,86.4,3488669,262177,347030,316863,22.4,316580,23.8,309164,25.5,298449,26.7,140010,52.2,N/A,N/A
Iowa,9353325,296454,385191,6115596,193834,5549500,228541,2233800,70.8,1984326,81.7,2035013,64.5,1817363,74.8,4577535,N/A,3077920,N/A,293100,22000,N/A,181018,2170587,N/A,3131324,N/A,747,2683,564174,95,532565,95,2002752,362191,1691520,2125691,79.4,1944884,72.7,5877354,219609,349490,2214216,74.8,2023690,68.4,6073216,205215,316051,624927,19.8,624293,21.1,611641,22.9,591341,24.4,304756,55.1,N/A,N/A
Idaho,4717760,263995,352370,2884326,161400,2636183,196897,1144958,64.1,1027224,76.7,1011308,56.6,908903,67.9,2344390,N/A,1604380,N/A,160200,16500,N/A,90757,993515,N/A,1549171,N/A,557,5805,287403,95,263089,90.5,915571,314986,1623060,1099808,73.5,974224,65.1,2792031,186707,315483,1138442,68.1,1007988,60.3,2871127,171835,282354,244368,13.7,244251,14.6,239776,16,232146,17.3,120231,41.4,N/A,N/A
Indian Health Svc,4093265,196526,N/A,2563765,123091,2224030,N/A,1165471,56,999516,N/A,919716,44.2,792881,N/A,1949495,N/A,1529280,N/A,111800,8300,N/A,42015,1098490,N/A,1249728,N/A,68,1168,187155,N/A,148633,N/A,478662,N/A,N/A,1099206,N/A,873036,N/A,2434393,N/A,N/A,1156554,N/A,916865,N/A,2547685,N/A,N/A,171277,8.2,171125,N/A,164090,N/A,151637,N/A,46450,N/A,N/A,N/A
Illinois,38027815,300097,385915,26759923,211177,23740208,240921,10022829,79.1,8686047,88.1,9045474,71.4,7868468,79.9,19840315,N/A,11168640,N/A,1185600,30500,N/A,688961,8553655,N/A,14929558,N/A,2601,38653,2007869,95,1863682,91.2,6906382,338013,1861160,9407288,86.8,8527317,78.7,25423396,234581,350881,9916309,83.2,8980613,75.3,26541406,222572,318895,2546159,20.1,2538953,21.3,2469442,22.8,2375144,24.1,1008943,49.4,N/A,N/A
Indiana,18818270,279526,364395,11170393,165924,10168656,196905,4346025,64.6,3876230,75.1,3893597,57.8,3509447,68,10039100,N/A,5570200,N/A,633800,11300,N/A,318135,3751752,N/A,6318048,N/A,646,41811,1046074,95,975559,89.9,3423093,315277,1733220,4149542,72.7,3749818,65.7,10777277,188908,329853,4317583,68.4,3883737,61.5,11120827,176133,298046,736005,10.9,735984,11.7,721804,12.7,699075,13.5,355444,32.7,N/A,N/A
Kansas,8288785,284514,374539,5373642,184451,4802423,217003,2227186,76.4,1957680,88.5,1907940,65.5,1687427,76.2,4161315,N/A,2756940,N/A,262700,21900,N/A,139526,1863037,N/A,2902445,N/A,775,10494,513160,95,462357,95,1585006,333344,1743220,2111134,86.1,1819121,74.2,5135157,209453,338084,2206950,80.9,1896960,69.5,5330607,195405,303843,455471,15.6,455044,16.7,444374,18.1,427768,19.3,210504,44.3,N/A,N/A
Kentucky,12115175,271174,349664,7494480,167749,6874433,198408,3083210,69,2784208,80.4,2667632,59.7,2419724,69.8,5902195,N/A,4309900,N/A,395600,13200,N/A,241645,2835114,N/A,3858370,N/A,454,2788,750418,95,671496,89.5,2260745,301206,1614140,2965435,77.9,2576306,67.7,7258261,190697,318304,3067025,73.1,2659645,63.4,7461265,177858,288796,553122,12.4,552740,13.2,544846,14.3,530949,15.3,271713,36.2,N/A,N/A
Louisiana,10234460,220153,287391,6948944,149478,6432508,180629,2922463,62.9,2654795,74.5,2560321,55.1,2349211,66,5164010,N/A,3807980,N/A,330500,9600,N/A,202155,2685374,N/A,3703972,N/A,701,3943,687135,92.7,647177,87.3,2084682,281325,1381130,2832440,72.2,2496413,63.6,6784719,172933,260862,2914364,67,2556761,58.8,6933085,159479,235420,350902,7.5,350900,8.1,347792,8.9,341820,9.6,180753,24.4,N/A,N/A
Massachusetts,23557420,341783,425247,18116478,262843,16070859,290103,7385490,95,6458197,95,5820448,84.4,5084048,91.8,11660360,N/A,7505380,N/A,634000,14400,N/A,409218,6252342,N/A,9307476,N/A,1343,463,1547397,95,1227559,95,4543995,388598,2014610,6941146,95,5477383,91,17170360,285376,391531,7299287,95,5766996,88.2,17940062,274517,360473,2116894,30.7,2108814,32.3,2038716,33.9,1941629,35,753580,64.4,N/A,N/A
Maryland,22187480,366997,470972,14669253,242640,12909734,274034,5560116,92,4790594,95,4830616,79.9,4171606,88.6,11823770,N/A,6431280,N/A,616500,36200,N/A,371052,4780143,N/A,8024190,N/A,3295,25876,1056471,95,953457,95,3608609,376133,2312650,5205626,95,4537510,87.9,13891806,269071,429749,5495212,95,4790270,84.3,14527812,255603,390367,1450670,24,1446046,25.4,1402545,27.2,1340236,28.4,529222,55.2,N/A,N/A
Maine,4933440,367014,450390,3526641,262358,3207392,292814,1314037,95,1179298,95,1122939,83.5,1005435,91.8,2357930,N/A,1595120,N/A,159400,7000,N/A,145385,1271651,N/A,1682267,N/A,407,5791,366167,95,303374,95,1194110,418597,1729420,1250717,95,1069767,90.3,3383369,285532,416347,1301392,95,1115287,87.1,3498317,273162,385222,412767,30.7,412319,32.2,402864,34,389628,35.6,198780,69.7,N/A,N/A
Marshall Islands,162240,208693,341349,100289,129004,73048,153691,44456,57.2,29296,61.6,35719,45.9,25952,54.6,53540,N/A,74500,N/A,12800,1100,N/A,3098,66616,N/A,24819,N/A,N/A,5,1622,43.5,1455,39,4688,125616,4347270,35362,61.6,30484,53.1,85324,148728,282801,41909,60.6,34805,50.3,96632,139646,234458,5333,6.9,5256,7.6,4805,8.4,4145,8.7,340,9.1,N/A,N/A
Michigan,29340990,293796,374108,18701905,187265,17039174,217255,6972048,69.8,6242099,79.6,6248481,62.6,5611666,71.6,14424540,N/A,9923920,N/A,967800,30700,N/A,473241,6664018,N/A,9819065,N/A,1829,5560,1755125,95,1614071,91.4,5801520,328623,1662000,6649208,77.4,5980185,69.6,17996888,209388,341373,6915065,73.4,6216502,66,18579412,197225,311462,1766055,17.7,1763843,18.7,1726025,20.1,1672466,21.3,814512,46.1,N/A,N/A
Minnesota,18341950,325233,422969,12781003,226628,11308534,260777,4456951,79,3837072,88.5,4078309,72.3,3531114,81.4,9458380,N/A,5378220,N/A,511500,18700,N/A,361615,4064199,N/A,6841762,N/A,1213,8324,974865,95,918865,95,3620959,393419,1992860,4140104,86.6,3816534,79.9,12073082,252676,383876,4386990,83,4036815,76.3,12632397,238888,346859,1491713,26.5,1488947,28.2,1441085,30.2,1378758,31.8,593933,64.5,N/A,N/A
Missouri,15571305,253711,326659,10482738,170800,9557479,200499,4265356,69.5,3824677,80.2,3631537,59.2,3274114,68.7,7966545,N/A,5150760,N/A,441000,20300,N/A,254254,3451981,N/A,5868581,N/A,1051,2731,1057337,95,942509,88.7,3260032,306960,1466170,4079356,77.9,3491258,66.7,10103885,192980,297406,4232802,73.4,3613130,62.6,10412052,180472,269897,895835,14.6,894696,15.5,876772,16.7,851691,17.9,428589,40.4,N/A,N/A
Northern Mariana Islands,150630,290505,417547,118218,227996,95087,263581,46788,90.2,36198,95,44004,84.9,34473,95,108950,N/A,28020,N/A,3700,200,N/A,1399,15547,N/A,96607,N/A,1,9,3299,87.9,3157,84.1,10058,267928,4012520,41656,95,39669,93.8,107957,255278,356183,46337,95,43894,91.3,117400,244065,313147,4618,8.9,4611,9.6,4350,10.3,3941,10.9,789,21,N/A,N/A
Mississippi,7215495,242444,316807,4298988,144448,3971755,174386,1837411,61.7,1669036,73.3,1599255,53.7,1461963,64.2,3692575,N/A,2606680,N/A,235400,8100,N/A,95754,1647842,N/A,2352593,N/A,309,4715,456814,93.9,419659,86.2,1332926,273874,1482560,1785186,70.8,1559086,61.8,4200024,166573,286167,1833436,65.7,1597911,57.2,4292157,153694,258373,196006,6.6,196006,7,194519,7.7,191001,8.4,108566,22.3,N/A,N/A
Montana,2698655,252499,321196,1864139,174418,1710814,203622,730659,68.4,657306,78.2,633022,59.2,573904,68.3,1266975,N/A,952100,N/A,106500,7000,N/A,62615,712199,N/A,918608,N/A,246,2631,205031,95,184505,89.4,647264,313541,1307250,698887,76.2,609763,66.5,1801609,196340,294100,725481,72,631005,62.6,1854962,184093,267824,167621,15.7,167620,16.6,164491,17.9,159891,19,84771,41.1,N/A,N/A
North Carolina,30057070,286583,367115,19484892,185781,17606688,215047,9707083,92.6,8719581,95,7059349,67.3,6357024,77.6,15366080,N/A,9753780,N/A,959800,45000,N/A,524482,6652363,N/A,10698888,N/A,1748,1555,2479481,95,1836575,95,5618505,320857,1716470,9295984,95,6780218,75.5,18706214,208182,334506,9644299,95,7028575,71.2,19360109,195986,304273,1570173,15,1567695,15.9,1532864,17.1,1480063,18.1,698048,39.9,N/A,N/A
North Dakota,1896470,248860,325915,1311591,172111,1183514,203391,530126,69.6,473318,81.3,448292,58.8,403746,69.4,990720,N/A,600920,N/A,53600,2600,N/A,40026,430096,N/A,713651,N/A,211,344,127523,95,109953,91.7,386260,322300,1582440,503216,79,429143,67.3,1251693,196422,297604,524550,74.1,446153,63,1299888,183610,267878,119112,15.6,119098,16.8,115919,18.2,111642,19.2,56589,47.2,N/A,N/A
Nebraska,5440180,281232,373041,3811166,197020,3403091,233355,1424245,73.6,1243027,85.2,1285468,66.5,1127590,77.3,2902720,N/A,1647080,N/A,152400,7100,N/A,96415,1239924,N/A,2123006,N/A,437,10495,318510,95,297663,95,1112733,356122,1741090,1343798,83.1,1218718,75.4,3637663,224907,336352,1410685,78.2,1276931,70.8,3783687,209794,301641,336387,17.4,335442,18.6,327402,20.2,314802,21.6,149206,47.8,N/A,N/A
New Hampshire,5094490,374674,461266,2973918,218717,2713241,245663,1202698,88.5,1082232,95,981493,72.2,890406,80.6,2635340,N/A,1454740,N/A,189000,4700,N/A,90654,1005661,N/A,1544863,N/A,320,520,304383,95,257067,95,909109,358109,2006780,1151623,95,945525,78.9,2874813,239854,425048,1193932,92.1,976752,75.4,2956700,228125,393066,318626,23.4,318165,24.5,312071,26,301807,27.3,145159,57.2,N/A,N/A
New Jersey,29382140,330798,423154,19779469,222687,17678923,254607,8422414,94.8,7421863,95,7037922,79.2,6191171,89.2,15474710,N/A,9139640,N/A,1015900,41600,N/A,585712,6895144,N/A,10823763,N/A,1926,610,1685428,95,1438113,95,4861168,329451,1991290,8004926,95,6697052,87.9,18949117,248729,385675,8367118,95,7003554,83.7,19671120,235090,351146,1492768,16.8,1490691,17.8,1459218,19.2,1409827,20.3,593629,40.2,N/A,N/A
New Mexico,6130715,292380,378208,4733684,225754,4228210,260841,1986449,94.7,1731767,95,1580694,75.4,1383856,85.4,3001645,N/A,2020200,N/A,190600,7800,N/A,121526,1722268,N/A,2407337,N/A,2869,17225,465818,95,380968,95,1358213,359691,1623580,1876504,95,1502366,84.1,4527303,253285,342990,1970514,95,1573769,79.7,4704738,238113,310284,460099,21.9,459706,23.3,448658,25.1,430607,26.6,196708,52.1,N/A,N/A
Nevada,7671550,249064,321319,5575811,181024,5093971,213359,2397424,77.8,2156648,90.3,1965252,63.8,1776842,74.4,4208030,N/A,2313400,N/A,260400,7400,N/A,189058,1769391,N/A,3214288,N/A,586,711,517983,95,442365,89.2,1497819,301997,1546770,2314616,88.3,1902023,72.5,5413203,206469,292606,2389618,82.6,1961364,67.8,5560179,192089,265031,393689,12.8,393565,13.6,387394,14.8,377198,15.8,180138,36.3,N/A,N/A
New York State,60916875,313140,394916,45062005,231639,40652452,263545,18411112,94.6,16364758,95,15750363,81,14005151,90.8,32639195,N/A,18763080,N/A,1962500,38600,N/A,1460587,15018967,N/A,25107204,N/A,4079,47031,3627768,95,3193693,95,10961055,332542,1848120,17536514,95,15031940,89.6,43253530,257873,363179,18282219,95,15675321,85.5,44795841,244431,332397,3380990,17.4,3377085,18.4,3305896,19.7,3203365,20.8,1375087,41.7,N/A,N/A
Ohio,31451215,269064,345197,21043347,180025,19183660,210553,7700545,65.9,6885069,75.6,7082025,60.6,6363668,69.8,16341575,N/A,10080740,N/A,1013900,29000,N/A,638614,7244843,N/A,11244852,N/A,2172,24788,1938363,94.7,1833487,89.6,6643032,324633,1536970,7340580,73.4,6782634,67.8,20254109,202527,314490,7633481,69.4,7042199,64,20895725,189991,285965,1867049,16,1865253,17,1823355,18.2,1765911,19.4,880028,43,N/A,N/A
Oklahoma,9630860,243390,320523,6758078,170789,6193513,206125,2959163,74.8,2676681,89.1,2397648,60.6,2171478,72.3,4602480,N/A,3590680,N/A,342300,29200,N/A,157969,2522418,N/A,3589898,N/A,955,13259,714710,95,593822,93.5,1986539,312776,1516360,2861809,86.1,2324148,69.9,6569382,197562,289630,2948093,79.6,2392496,64.6,6737564,182026,260192,470981,11.9,470650,12.7,463972,14,451770,15,236310,37.2,N/A,N/A
Oregon,14055745,333253,419427,9355292,221808,8416149,251140,3454547,81.9,3047681,90.9,3062145,72.6,2724048,81.3,7050915,N/A,4482260,N/A,466700,23900,N/A,279576,3128573,N/A,4979443,N/A,1386,24637,785189,95,723016,94.4,2672730,348884,1834760,3264323,89.5,2919657,80,8943765,245185,385324,3417300,85.6,3046239,76.3,9285389,232721,352281,933253,22.1,930216,23.3,900531,24.7,862163,25.7,366356,47.8,N/A,N/A
Pennsylvania,42449840,331588,417510,27472663,214597,24830679,244219,11640057,90.9,10406477,95,9423284,73.6,8432494,82.9,21137370,N/A,13924940,N/A,1569500,75100,N/A,802332,9676885,N/A,14542146,N/A,2289,1971,2913507,95,2440911,95,8453241,353195,1773650,11087215,95,8986936,81.1,26309685,237419,383068,11537880,95,9354901,77.3,27255433,225176,350707,2434764,19,2428020,20.1,2375381,21.4,2297634,22.6,1127301,47.1,N/A,N/A
Puerto Rico,8822170,276237,336600,7836119,245362,6902489,263357,2904553,90.9,2498414,95,2687333,84.1,2319930,88.5,5013610,N/A,2843120,N/A,216600,2000,N/A,151663,2837408,N/A,4515725,N/A,99,280,651752,95,608773,89.6,2047754,301293,1298040,2719269,95,2527662,88.7,7476806,262501,309735,2898048,94.2,2685088,87.3,7824747,254363,286787,329816,10.3,329793,10.7,326711,11.5,320452,12.2,162693,23.9,N/A,N/A
Republic of Palau,52580,244195,317072,51962,241325,45207,272611,20801,95,17737,95,18554,86.2,15954,95,14390,N/A,30900,N/A,3800,N/A,N/A,2365,37949,N/A,9395,N/A,N/A,249,1885,94.6,1818,91.3,5682,285241,2639560,19280,95,17419,93.4,49007,262843,282006,20732,95,18534,91,51833,254420,258087,2015,9.4,2015,9.9,1949,10.5,1834,11.1,314,15.8,N/A,N/A
Rhode Island,3496965,330101,409066,2663208,251398,2402542,281043,1125682,95,992452,95,931689,87.9,818636,95,1754745,N/A,1153160,N/A,90500,4400,N/A,67202,916654,N/A,1416408,N/A,485,3017,235072,95,200603,95,729530,390027,1869580,1064404,95,881031,95,2554495,275420,377035,1116898,95,926150,92.2,2645035,263229,348012,269910,25.5,269513,26.8,263683,28.4,254756,29.8,110352,59,N/A,N/A
